Bin,Classification,Genome_Length,Completeness,Redundancy
3300009517-bin.12,o__Cytophagales,7.52184,100,0
3300009517-bin.13,o__Burkholderiales,4.422216,99.84423676,0.058411215
3300009517-bin.18,c__Alphaproteobacteria,4.515055,100,0.487012987
3300009517-bin.1,o__Cytophagales,4.850289,99.10714286,0.595238095
3300009517-bin.22,o__Actinomycetales,3.635914,93.21366889,1.623488774
3300009517-bin.29,o__Rhizobiales,3.589362,98.53709509,0.167189133
3300009517-bin.31,f__Flavobacteriaceae,3.088261,99.29328622,0.35335689
3300009517-bin.3,o__Actinomycetales,3.662903,98.95264117,0.546448087
3300009517-bin.44,o__Actinomycetales,3.870297,90.52430299,1.208981002
3300009517-bin.47,f__Rhodobacteraceae,4.341736,97.51515152,2.075757576
3300009517-bin.50,o__Actinomycetales,3.810769,92.12998713,2.77992278
3300009517-bin.52,o__Actinomycetales,3.554087,90.67234148,3.096471749
3300009517-bin.6,c__Alphaproteobacteria,2.980669,98.43073593,0.324675325
3300009517-bin.7,o__Actinomycetales,2.934589,97.81144781,0
3300026282-bin.15,o__Actinomycetales,3.093982,98.01801802,0.540540541
3300026282-bin.18,f__Rhodobacteraceae,3.411734,93.38383838,1.96969697
3300026282-bin.36,k__Bacteria,3.697881,96.99453552,1.092896175
3300026282-bin.4,c__Betaproteobacteria,4.343859,100,0.504201681
3300026282-bin.5,c__Alphaproteobacteria,2.627818,99.94588745,0
3300026283-bin.17,f__Rhodobacteraceae,4.419502,98.23232323,1.066822067
3300026283-bin.18,k__Bacteria,3.170547,98.36065574,1.366120219
3300026283-bin.19,p__Bacteroidetes,2.979717,99.01477833,0.985221675
3300026283-bin.21,o__Rhizobiales,5.083925,99.58202717,1.880877743
3300026283-bin.22,o__Actinomycetales,3.091566,94.86486486,2.162162162
3300026283-bin.28,o__Sphingomonadales,4.481396,99.97992371,1.555912467
3300026284-bin.16,p__Bacteroidetes,3.737085,99.50738916,0
3300026284-bin.20,p__Bacteroidetes,3.7245,99.50738916,0
3300026284-bin.31,o__Rhizobiales,4.447013,97.87257824,1.183970856
3300026284-bin.37,f__Flavobacteriaceae,2.778093,98.53609288,1.295641932
3300026284-bin.6,o__Actinomycetales,3.355964,98.91891892,0
3300026284-bin.9,c__Betaproteobacteria,4.755952,99.84126984,0.238095238
3300026286-bin.28,k__Bacteria,4.306304,92.87795993,0.72859745
3300026286-bin.3,p__Bacteroidetes,3.173705,99.04761905,0.476190476
3300026286-bin.7,k__Bacteria,5.867833,93.63636364,0.909090909
3300026287-bin.15,f__Rhodobacteraceae,3.538104,96.66666667,0.555555556
3300026287-bin.17,o__Rhizobiales,3.938694,99.6835443,0.0287687
3300026287-bin.19,k__Bacteria,3.839038,98.27586207,13.79310345
3300026287-bin.25,c__Alphaproteobacteria,2.784255,99.35064935,1.461038961
3300026287-bin.29,c__Alphaproteobacteria,3.105221,100,0
3300026287-bin.35,o__Sphingomonadales,4.915078,99.97992371,1.672354949
3300026287-bin.38,c__Alphaproteobacteria,2.662444,100,0.324675325
3300026287-bin.40,o__Rhodospirillales,3.688258,99.00497512,0.746268657
3300026287-bin.4,o__Rhizobiales,5.717539,99.50819672,2.18579235
3300026288-bin.15,p__Bacteroidetes,3.667562,96.53465347,0.495049505
3300026288-bin.19,f__Rhodobacteraceae,3.981499,99.53535354,0.757575758
3300026288-bin.1,k__Bacteria,3.280003,93.84815901,0.537634409
3300026288-bin.23,o__Burkholderiales,4.265696,98.48130841,0.981308411
3300026288-bin.26,f__Comamonadaceae,3.811961,97.55852479,3.390092879
3300026288-bin.30,f__Flavobacteriaceae,3.379531,98.76325088,0.530035336
3300026288-bin.32,p__Bacteroidetes,5.939362,97.02970297,0.99009901
3300026288-bin.34,o__Burkholderiales,5.528788,98.94859813,0.23364486
3300026288-bin.36,c__Alphaproteobacteria,2.602594,99.94588745,0.243506494
3300026288-bin.43,o__Actinomycetales,4.195066,99.45355191,1.912568306
3300026288-bin.6,k__Bacteria,3.165353,93.98148148,0.925925926
3300026288-bin.8,p__Bacteroidetes,4.410625,99.50738916,0
3300026289-bin.10,k__Bacteria,3.155437,97.81420765,1.366120219
3300026289-bin.12,f__Comamonadaceae,3.61163,94.5603172,1.031991744
3300026289-bin.15,o__Actinomycetales,2.6954,96.88109162,0
3300026289-bin.17,f__Xanthomonadaceae,3.976034,99.95073892,0.775862069
3300026289-bin.18,k__Bacteria,4.444032,100,12.75862069
3300026289-bin.19,c__Alphaproteobacteria,4.460531,97.7826087,0
3300026289-bin.20,o__Actinomycetales,4.073711,98.91891892,0.720720721
3300026289-bin.21,f__Rhodobacteraceae,3.485322,91.20504496,1.515151515
3300026289-bin.23,o__Rhizobiales,4.334506,99.09836066,0.922131148
3300026289-bin.24,o__Rhizobiales,5.028743,99.26854754,0.78369906
3300026289-bin.28,k__Bacteria,3.5944,100,1.612903226
3300026289-bin.2,o__Flavobacteriales,2.542409,100,0.245098039
3300026289-bin.34,c__Alphaproteobacteria,2.355346,92.35853432,0.173160173
3300026289-bin.37,o__Clostridiales,3.076724,95.74468085,1.773049645
3300026289-bin.38,f__Rhodobacteraceae,4.319231,97.46825397,0.833333333
3300026289-bin.41,c__Alphaproteobacteria,2.604307,97.72727273,0
3300026289-bin.48,o__Burkholderiales,5.308112,95.7195559,5.221962617
3300026289-bin.8,k__Bacteria,5.404157,96.2962963,0
3300026299-bin.12,f__Xanthomonadaceae,3.834866,99.60591133,0.977011494
3300026299-bin.16,p__Bacteroidetes,4.937381,99.52380952,1.904761905
3300026299-bin.21,k__Bacteria,3.804921,97.54098361,0.564663024
3300026299-bin.22,o__Actinomycetales,3.08373,98.01801802,0.540540541
3300026299-bin.26,f__Rhodobacteraceae,3.808849,99.33333333,0.151515152
3300026299-bin.32,o__Clostridiales,3.041646,98.58156028,1.773049645
3300026299-bin.40,o__Cytophagales,7.306751,99.10714286,0.595238095
3300026299-bin.47,o__Rhizobiales,3.451436,95.07836991,3.0651341
3300026299-bin.49,f__Rhodobacteraceae,4.966873,99.6969697,0.606060606
3300026299-bin.5,k__Bacteria,4.332668,97.48603352,4.655493482
3300026302-bin.10,f__Comamonadaceae,3.876006,99.94840041,1.042311662
3300026302-bin.20,o__Burkholderiales,3.508081,100,0.700934579
3300026302-bin.24,k__Bacteria,4.15998,98.88268156,0.558659218
3300026302-bin.25,o__Rhizobiales,4.231623,94.99341025,0.39556962
3300026302-bin.27,p__Bacteroidetes,3.975247,97.30706076,1.97044335
3300026302-bin.30,o__Rhizobiales,3.26323,97.91013584,0
3300026302-bin.31,o__Burkholderiales,3.411196,99.25658454,0.962900028
3300026302-bin.32,p__Bacteroidetes,3.899556,99.52380952,0
3300026302-bin.46,f__Xanthomonadaceae,3.641589,99.95073892,0.890804598
3300026302-bin.47,f__Xanthomonadaceae,2.992856,99.02298851,0
3300026302-bin.52,o__Clostridiales,2.542418,96.45390071,1.773049645
3300026302-bin.58,c__Betaproteobacteria,3.799466,96.1492891,6.778498379
3300026302-bin.59,f__Xanthomonadaceae,3.663872,98.09854322,0.882594417
3300026302-bin.61,f__Rhodobacteraceae,4.773805,99.09090909,1.186868687
3300026302-bin.62,k__Bacteria,5.174124,97.43589744,0.56980057
3300026303-bin.24,o__Rhizobiales,5.399698,94.19584955,1.418071768
3300026303-bin.26,f__Rhodobacteraceae,4.258959,98.85353535,1.790986791
3300026303-bin.27,f__Xanthomonadaceae,2.498281,97.89655172,1.028735632
3300026303-bin.32,f__Xanthomonadaceae,4.41265,99.8817734,0.666666667
3300026303-bin.38,o__Rhizobiales,3.649163,94.89816195,1.051912568
3300026303-bin.42,p__Bacteroidetes,4.147469,98.02955665,0
3300026303-bin.46,o__Actinomycetales,4.070868,99.45355191,0.546448087
3300026303-bin.53,c__Alphaproteobacteria,2.662556,99.35064935,0.162337662