,Bin,Abundance,Highest_Classf,Domain,Phylum,Class,Order,Family,Genus,Species
1,3300026282-bin.4,0.280703923,Accumulibacter_IA,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,Accumulibacter,
2,3300026284-bin.9,0.250217389,Accumulibacter_IIA,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,Accumulibacter,
3,3300009517-bin.30,0.069062951,Bacteroidetes,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium_A,
4,3300026302-bin.47,0.031121606,Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,
5,3300026299-bin.22,0.027752157,Actinobacteria,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Dermatophilaceae,,
6,3300026302-bin.46,0.019869968,Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas_A,
7,3300026303-bin.32,0.017168737,Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,,
8,3300026288-bin.43,0.016976816,Actinobacteria,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Dermatophilaceae,Tetrasphaera_A,
9,3300026299-bin.12,0.016850022,Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas_A,
10,3300026302-bin.62,0.010978241,Cyanobacteria,Bacteria,Cyanobacteriota,Vampirovibrionia,Obscuribacterales,Obscuribacteraceae,,
11,3300026303-bin.42,0.010665876,Bacteroidetes,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,,
12,3300026287-bin.17,0.010210443,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,,
13,3300026302-bin.31,0.009522017,Betaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Ottowia,
14,3300026284-bin.6,0.009270664,Actinobacteria,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Dermatophilaceae,,
15,3300026302-bin.10,0.009098153,Betaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,,
16,3300026289-bin.23,0.008312394,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium_A,
17,3300026302-bin.20,0.007954199,Betaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,,
18,3300026282-bin.5,0.007402066,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,
19,3300026288-bin.19,0.007224844,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
20,3300026303-bin.46,0.00682852,Actinobacteria,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Dermatophilaceae,,
21,3300026283-bin.21,0.006295394,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,
22,3300026289-bin.24,0.005600679,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,
23,3300009517-bin.6,0.005365855,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Aquidulcibacter,
24,3300009517-bin.13,0.005026475,Betaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,,
25,3300009517-bin.12,0.004699544,Bacteroidetes,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Runella,
26,3300026299-bin.49,0.004659329,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Gemmobacter,
27,3300026283-bin.18,0.004560097,Bacteroidetes,Bacteria,Bacteroidota,Rhodothermia,Rhodothermales,,,
28,3300026289-bin.41,0.004434857,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,
29,3300026288-bin.15,0.004208749,Bacteroidetes,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,,
30,3300026302-bin.32,0.003821879,Bacteroidetes,Bacteria,Bacteroidota,Bacteroidia,NS11-12g,UKL13-3,,
31,3300009517-bin.29,0.003439859,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,,
32,3300026287-bin.29,0.003312034,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,
33,3300026299-bin.26,0.003192625,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
34,3300026287-bin.4,0.003080842,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aminobacter,
35,3300026289-bin.28,0.002956154,Bacteroidetes,Bacteria,Bacteroidota,Bacteroidia,,,,
36,3300026283-bin.28,0.002825841,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,
37,3300026287-bin.38,0.002746216,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,
38,3300009517-bin.3,0.002651325,Actinobacteria,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Dermatophilaceae,Tetrasphaera_A,
39,3300009517-bin.1,0.00264754,Bacteroidetes,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Leadbetterella,
40,3300026302-bin.59,0.002366301,Gammaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,
41,3300026288-bin.32,0.002365758,Bacteroidetes,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,,
42,3300026302-bin.61,0.002293269,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,CCB-MM2,
43,3300009517-bin.31,0.00222146,Bacteroidetes,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,
44,3300026302-bin.25,0.002053738,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,YEK0313,YEK0313,
45,3300009517-bin.47,0.002022504,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,UBA6273,
46,3300009517-bin.7,0.001771368,Actinobacteria,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Microbacteriaceae,Salinibacterium,
47,3300026302-bin.24,0.001752923,Chlorobi,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,,
48,3300009517-bin.42,0.001605095,Betaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Rubrivivax,
49,3300026288-bin.34,0.001596013,Betaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,,
50,3300026302-bin.27,0.001517743,Bacteroidetes,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Flavihumibacter,
51,3300009517-bin.52,0.001244401,Actinobacteria,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,,
52,3300026288-bin.6,0.001169694,Armatimonadota,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,,
53,3300026303-bin.38,0.001162839,Alphaproteobacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium_A,
54,3300026288-bin.23,0.001126928,Betaproteobacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Ottowia,
55,3300026283-bin.19,0.001098664,Bacteroidetes,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,UBA1312,
56,3300026289-bin.38,0.001093807,Rhodothermeota,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
57,3300026288-bin.30,0.001055342,Bacteroidetes,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,